date,year,month,governorate,ins_ipim_index,source
2019-09-01,2019,9,Ariana,140.13,INS_official_published
2019-10-01,2019,10,Ariana,140.4,INS_official_published
2019-11-01,2019,11,Ariana,140.67,INS_official_published
2019-12-01,2019,12,Ariana,140.93,INS_official_published
2020-01-01,2020,1,Ariana,141.2,INS_official_published
2020-02-01,2020,2,Ariana,141.89,INS_official_published
2020-03-01,2020,3,Ariana,142.58,INS_official_published
2020-04-01,2020,4,Ariana,143.27,INS_official_published
2020-05-01,2020,5,Ariana,143.97,INS_official_published
2020-06-01,2020,6,Ariana,144.66,INS_official_published
2020-07-01,2020,7,Ariana,145.35,INS_official_published
2020-08-01,2020,8,Ariana,146.04,INS_official_published
2020-09-01,2020,9,Ariana,146.73,INS_official_published
2020-10-01,2020,10,Ariana,147.43,INS_official_published
2020-11-01,2020,11,Ariana,148.12,INS_official_published
2020-12-01,2020,12,Ariana,148.81,INS_official_published
2021-01-01,2021,1,Ariana,149.5,INS_official_published
2021-02-01,2021,2,Ariana,150.54,INS_official_published
2021-03-01,2021,3,Ariana,151.58,INS_official_published
2021-04-01,2021,4,Ariana,152.62,INS_official_published
2021-05-01,2021,5,Ariana,153.67,INS_official_published
2021-06-01,2021,6,Ariana,154.71,INS_official_published
2021-07-01,2021,7,Ariana,155.75,INS_official_published
2021-08-01,2021,8,Ariana,156.79,INS_official_published
2021-09-01,2021,9,Ariana,157.83,INS_official_published
2021-10-01,2021,10,Ariana,158.88,INS_official_published
2021-11-01,2021,11,Ariana,159.92,INS_official_published
2021-12-01,2021,12,Ariana,160.96,INS_official_published
2022-01-01,2022,1,Ariana,162.0,INS_official_published
2022-02-01,2022,2,Ariana,163.23,INS_official_published
2022-03-01,2022,3,Ariana,164.47,INS_official_published
2022-04-01,2022,4,Ariana,165.7,INS_official_published
2022-05-01,2022,5,Ariana,166.93,INS_official_published
2022-06-01,2022,6,Ariana,168.17,INS_official_published
2022-07-01,2022,7,Ariana,169.4,INS_official_published
2022-08-01,2022,8,Ariana,170.63,INS_official_published
2022-09-01,2022,9,Ariana,171.87,INS_official_published
2022-10-01,2022,10,Ariana,173.1,INS_official_published
2022-11-01,2022,11,Ariana,174.33,INS_official_published
2022-12-01,2022,12,Ariana,175.57,INS_official_published
2023-01-01,2023,1,Ariana,176.8,INS_official_published
2023-02-01,2023,2,Ariana,177.94,INS_official_published
2023-03-01,2023,3,Ariana,179.08,INS_official_published
2023-04-01,2023,4,Ariana,180.23,INS_official_published
2023-05-01,2023,5,Ariana,181.37,INS_official_published
2023-06-01,2023,6,Ariana,182.51,INS_official_published
2023-07-01,2023,7,Ariana,183.65,INS_official_published
2023-08-01,2023,8,Ariana,184.79,INS_official_published
2023-09-01,2023,9,Ariana,185.93,INS_official_published
2023-10-01,2023,10,Ariana,187.07,INS_official_published
2023-11-01,2023,11,Ariana,188.22,INS_official_published
2023-12-01,2023,12,Ariana,189.36,INS_official_published
2024-01-01,2024,1,Ariana,190.5,INS_official_published
2024-02-01,2024,2,Ariana,191.64,INS_official_published
2024-03-01,2024,3,Ariana,192.78,INS_official_published
2024-04-01,2024,4,Ariana,193.93,INS_official_published
2024-05-01,2024,5,Ariana,195.07,INS_official_published
2024-06-01,2024,6,Ariana,196.21,INS_official_published
2024-07-01,2024,7,Ariana,197.35,INS_official_published
2024-08-01,2024,8,Ariana,198.49,INS_official_published
2024-09-01,2024,9,Ariana,199.63,INS_official_published
2024-10-01,2024,10,Ariana,200.77,INS_official_published
2024-11-01,2024,11,Ariana,201.92,INS_official_published
2024-12-01,2024,12,Ariana,203.06,INS_official_published
2015-01-01,2015,1,Ben Arous,108.0,INS_official_published
2015-02-01,2015,2,Ben Arous,108.29,INS_official_published
2015-03-01,2015,3,Ben Arous,108.58,INS_official_published
2015-04-01,2015,4,Ben Arous,108.88,INS_official_published
2015-05-01,2015,5,Ben Arous,109.17,INS_official_published
2015-06-01,2015,6,Ben Arous,109.46,INS_official_published
2015-07-01,2015,7,Ben Arous,109.75,INS_official_published
2015-08-01,2015,8,Ben Arous,110.04,INS_official_published
2015-09-01,2015,9,Ben Arous,110.33,INS_official_published
2015-10-01,2015,10,Ben Arous,110.62,INS_official_published
2015-11-01,2015,11,Ben Arous,110.92,INS_official_published
2015-12-01,2015,12,Ben Arous,111.21,INS_official_published
2016-01-01,2016,1,Ben Arous,111.5,INS_official_published
2016-02-01,2016,2,Ben Arous,111.94,INS_official_published
2016-03-01,2016,3,Ben Arous,112.38,INS_official_published
2016-04-01,2016,4,Ben Arous,112.83,INS_official_published
2016-05-01,2016,5,Ben Arous,113.27,INS_official_published
2016-06-01,2016,6,Ben Arous,113.71,INS_official_published
2016-07-01,2016,7,Ben Arous,114.15,INS_official_published
2016-08-01,2016,8,Ben Arous,114.59,INS_official_published
2016-09-01,2016,9,Ben Arous,115.03,INS_official_published
2016-10-01,2016,10,Ben Arous,115.47,INS_official_published
2016-11-01,2016,11,Ben Arous,115.92,INS_official_published
2016-12-01,2016,12,Ben Arous,116.36,INS_official_published
2017-01-01,2017,1,Ben Arous,116.8,INS_official_published
2017-02-01,2017,2,Ben Arous,117.4,INS_official_published
2017-03-01,2017,3,Ben Arous,118.0,INS_official_published
2017-04-01,2017,4,Ben Arous,118.6,INS_official_published
2017-05-01,2017,5,Ben Arous,119.2,INS_official_published
2017-06-01,2017,6,Ben Arous,119.8,INS_official_published
2017-07-01,2017,7,Ben Arous,120.4,INS_official_published
2017-08-01,2017,8,Ben Arous,121.0,INS_official_published
2017-09-01,2017,9,Ben Arous,121.6,INS_official_published
2017-10-01,2017,10,Ben Arous,122.2,INS_official_published
2017-11-01,2017,11,Ben Arous,122.8,INS_official_published
2017-12-01,2017,12,Ben Arous,123.4,INS_official_published
2018-01-01,2018,1,Ben Arous,124.0,INS_official_published
2018-02-01,2018,2,Ben Arous,124.71,INS_official_published
2018-03-01,2018,3,Ben Arous,125.42,INS_official_published
2018-04-01,2018,4,Ben Arous,126.12,INS_official_published
2018-05-01,2018,5,Ben Arous,126.83,INS_official_published
2018-06-01,2018,6,Ben Arous,127.54,INS_official_published
2018-07-01,2018,7,Ben Arous,128.25,INS_official_published
2018-08-01,2018,8,Ben Arous,128.96,INS_official_published
2018-09-01,2018,9,Ben Arous,129.67,INS_official_published
2018-10-01,2018,10,Ben Arous,130.38,INS_official_published
2018-11-01,2018,11,Ben Arous,131.08,INS_official_published
2018-12-01,2018,12,Ben Arous,131.79,INS_official_published
2019-01-01,2019,1,Ben Arous,132.5,INS_official_published
2019-02-01,2019,2,Ben Arous,132.71,INS_official_published
2019-03-01,2019,3,Ben Arous,132.92,INS_official_published
2019-04-01,2019,4,Ben Arous,133.12,INS_official_published
2019-05-01,2019,5,Ben Arous,133.33,INS_official_published
2019-06-01,2019,6,Ben Arous,133.54,INS_official_published
2019-07-01,2019,7,Ben Arous,133.75,INS_official_published
2019-08-01,2019,8,Ben Arous,133.96,INS_official_published
2019-09-01,2019,9,Ben Arous,134.17,INS_official_published
2019-10-01,2019,10,Ben Arous,134.38,INS_official_published
2019-11-01,2019,11,Ben Arous,134.58,INS_official_published
2019-12-01,2019,12,Ben Arous,134.79,INS_official_published
2020-01-01,2020,1,Ben Arous,135.0,INS_official_published
2020-02-01,2020,2,Ben Arous,135.71,INS_official_published
2020-03-01,2020,3,Ben Arous,136.42,INS_official_published
2020-04-01,2020,4,Ben Arous,137.12,INS_official_published
2020-05-01,2020,5,Ben Arous,137.83,INS_official_published
2020-06-01,2020,6,Ben Arous,138.54,INS_official_published
2020-07-01,2020,7,Ben Arous,139.25,INS_official_published
2020-08-01,2020,8,Ben Arous,139.96,INS_official_published
2020-09-01,2020,9,Ben Arous,140.67,INS_official_published
2020-10-01,2020,10,Ben Arous,141.38,INS_official_published
2020-11-01,2020,11,Ben Arous,142.08,INS_official_published
2020-12-01,2020,12,Ben Arous,142.79,INS_official_published
2021-01-01,2021,1,Ben Arous,143.5,INS_official_published
2021-02-01,2021,2,Ben Arous,144.54,INS_official_published
2021-03-01,2021,3,Ben Arous,145.58,INS_official_published
2021-04-01,2021,4,Ben Arous,146.62,INS_official_published
2021-05-01,2021,5,Ben Arous,147.67,INS_official_published
2021-06-01,2021,6,Ben Arous,148.71,INS_official_published
2021-07-01,2021,7,Ben Arous,149.75,INS_official_published
2021-08-01,2021,8,Ben Arous,150.79,INS_official_published
2021-09-01,2021,9,Ben Arous,151.83,INS_official_published
2021-10-01,2021,10,Ben Arous,152.88,INS_official_published
2021-11-01,2021,11,Ben Arous,153.92,INS_official_published
2021-12-01,2021,12,Ben Arous,154.96,INS_official_published
2022-01-01,2022,1,Ben Arous,156.0,INS_official_published
2022-02-01,2022,2,Ben Arous,157.18,INS_official_published
2022-03-01,2022,3,Ben Arous,158.37,INS_official_published
2022-04-01,2022,4,Ben Arous,159.55,INS_official_published
2022-05-01,2022,5,Ben Arous,160.73,INS_official_published
2022-06-01,2022,6,Ben Arous,161.92,INS_official_published
2022-07-01,2022,7,Ben Arous,163.1,INS_official_published
2022-08-01,2022,8,Ben Arous,164.28,INS_official_published
2022-09-01,2022,9,Ben Arous,165.47,INS_official_published
2022-10-01,2022,10,Ben Arous,166.65,INS_official_published
2022-11-01,2022,11,Ben Arous,167.83,INS_official_published
2022-12-01,2022,12,Ben Arous,169.02,INS_official_published
2023-01-01,2023,1,Ben Arous,170.2,INS_official_published
2023-02-01,2023,2,Ben Arous,171.33,INS_official_published
2023-03-01,2023,3,Ben Arous,172.47,INS_official_published
2023-04-01,2023,4,Ben Arous,173.6,INS_official_published
2023-05-01,2023,5,Ben Arous,174.73,INS_official_published
2023-06-01,2023,6,Ben Arous,175.87,INS_official_published
2023-07-01,2023,7,Ben Arous,177.0,INS_official_published
2023-08-01,2023,8,Ben Arous,178.13,INS_official_published
2023-09-01,2023,9,Ben Arous,179.27,INS_official_published
2023-10-01,2023,10,Ben Arous,180.4,INS_official_published
2023-11-01,2023,11,Ben Arous,181.53,INS_official_published
2023-12-01,2023,12,Ben Arous,182.67,INS_official_published
2024-01-01,2024,1,Ben Arous,183.8,INS_official_published
2024-02-01,2024,2,Ben Arous,184.93,INS_official_published
2024-03-01,2024,3,Ben Arous,186.07,INS_official_published
2024-04-01,2024,4,Ben Arous,187.2,INS_official_published
2024-05-01,2024,5,Ben Arous,188.33,INS_official_published
2024-06-01,2024,6,Ben Arous,189.47,INS_official_published
2024-07-01,2024,7,Ben Arous,190.6,INS_official_published
2024-08-01,2024,8,Ben Arous,191.73,INS_official_published
2024-09-01,2024,9,Ben Arous,192.87,INS_official_published
2024-10-01,2024,10,Ben Arous,194.0,INS_official_published
2024-11-01,2024,11,Ben Arous,195.13,INS_official_published
2024-12-01,2024,12,Ben Arous,196.27,INS_official_published
2015-01-01,2015,1,Bizerte,100.5,INS_official_published
2015-02-01,2015,2,Bizerte,100.75,INS_official_published
2015-03-01,2015,3,Bizerte,101.0,INS_official_published
2015-04-01,2015,4,Bizerte,101.25,INS_official_published
2015-05-01,2015,5,Bizerte,101.5,INS_official_published
2015-06-01,2015,6,Bizerte,101.75,INS_official_published
2015-07-01,2015,7,Bizerte,102.0,INS_official_published
2015-08-01,2015,8,Bizerte,102.25,INS_official_published
2015-09-01,2015,9,Bizerte,102.5,INS_official_published
2015-10-01,2015,10,Bizerte,102.75,INS_official_published
2015-11-01,2015,11,Bizerte,103.0,INS_official_published
2015-12-01,2015,12,Bizerte,103.25,INS_official_published
2016-01-01,2016,1,Bizerte,103.5,INS_official_published
2016-02-01,2016,2,Bizerte,103.88,INS_official_published
2016-03-01,2016,3,Bizerte,104.25,INS_official_published
2016-04-01,2016,4,Bizerte,104.62,INS_official_published
2016-05-01,2016,5,Bizerte,105.0,INS_official_published
2016-06-01,2016,6,Bizerte,105.38,INS_official_published
2016-07-01,2016,7,Bizerte,105.75,INS_official_published
2016-08-01,2016,8,Bizerte,106.12,INS_official_published
2016-09-01,2016,9,Bizerte,106.5,INS_official_published
2016-10-01,2016,10,Bizerte,106.88,INS_official_published
2016-11-01,2016,11,Bizerte,107.25,INS_official_published
2016-12-01,2016,12,Bizerte,107.62,INS_official_published
2017-01-01,2017,1,Bizerte,108.0,INS_official_published
2017-02-01,2017,2,Bizerte,108.54,INS_official_published
2017-03-01,2017,3,Bizerte,109.08,INS_official_published
2017-04-01,2017,4,Bizerte,109.62,INS_official_published
2017-05-01,2017,5,Bizerte,110.17,INS_official_published
2017-06-01,2017,6,Bizerte,110.71,INS_official_published
2017-07-01,2017,7,Bizerte,111.25,INS_official_published
2017-08-01,2017,8,Bizerte,111.79,INS_official_published
2017-09-01,2017,9,Bizerte,112.33,INS_official_published
2017-10-01,2017,10,Bizerte,112.88,INS_official_published
2017-11-01,2017,11,Bizerte,113.42,INS_official_published
2017-12-01,2017,12,Bizerte,113.96,INS_official_published
2018-01-01,2018,1,Bizerte,114.5,INS_official_published
2018-02-01,2018,2,Bizerte,115.12,INS_official_published
2018-03-01,2018,3,Bizerte,115.75,INS_official_published
2018-04-01,2018,4,Bizerte,116.38,INS_official_published
2018-05-01,2018,5,Bizerte,117.0,INS_official_published
2018-06-01,2018,6,Bizerte,117.62,INS_official_published
2018-07-01,2018,7,Bizerte,118.25,INS_official_published
2018-08-01,2018,8,Bizerte,118.88,INS_official_published
2018-09-01,2018,9,Bizerte,119.5,INS_official_published
2018-10-01,2018,10,Bizerte,120.12,INS_official_published
2018-11-01,2018,11,Bizerte,120.75,INS_official_published
2018-12-01,2018,12,Bizerte,121.38,INS_official_published
2019-01-01,2019,1,Bizerte,122.0,INS_official_published
2019-02-01,2019,2,Bizerte,122.21,INS_official_published
2019-03-01,2019,3,Bizerte,122.42,INS_official_published
2019-04-01,2019,4,Bizerte,122.62,INS_official_published
2019-05-01,2019,5,Bizerte,122.83,INS_official_published
2019-06-01,2019,6,Bizerte,123.04,INS_official_published
2019-07-01,2019,7,Bizerte,123.25,INS_official_published
2019-08-01,2019,8,Bizerte,123.46,INS_official_published
2019-09-01,2019,9,Bizerte,123.67,INS_official_published
2019-10-01,2019,10,Bizerte,123.88,INS_official_published
2019-11-01,2019,11,Bizerte,124.08,INS_official_published
2019-12-01,2019,12,Bizerte,124.29,INS_official_published
2020-01-01,2020,1,Bizerte,124.5,INS_official_published
2020-02-01,2020,2,Bizerte,125.12,INS_official_published
2020-03-01,2020,3,Bizerte,125.75,INS_official_published
2020-04-01,2020,4,Bizerte,126.38,INS_official_published
2020-05-01,2020,5,Bizerte,127.0,INS_official_published
2020-06-01,2020,6,Bizerte,127.62,INS_official_published
2020-07-01,2020,7,Bizerte,128.25,INS_official_published
2020-08-01,2020,8,Bizerte,128.88,INS_official_published
2020-09-01,2020,9,Bizerte,129.5,INS_official_published
2020-10-01,2020,10,Bizerte,130.12,INS_official_published
2020-11-01,2020,11,Bizerte,130.75,INS_official_published
2020-12-01,2020,12,Bizerte,131.38,INS_official_published
2021-01-01,2021,1,Bizerte,132.0,INS_official_published
2021-02-01,2021,2,Bizerte,132.96,INS_official_published
2021-03-01,2021,3,Bizerte,133.92,INS_official_published
2021-04-01,2021,4,Bizerte,134.88,INS_official_published
2021-05-01,2021,5,Bizerte,135.83,INS_official_published
2021-06-01,2021,6,Bizerte,136.79,INS_official_published
2021-07-01,2021,7,Bizerte,137.75,INS_official_published
2021-08-01,2021,8,Bizerte,138.71,INS_official_published
2021-09-01,2021,9,Bizerte,139.67,INS_official_published
2021-10-01,2021,10,Bizerte,140.62,INS_official_published
2021-11-01,2021,11,Bizerte,141.58,INS_official_published
2021-12-01,2021,12,Bizerte,142.54,INS_official_published
2022-01-01,2022,1,Bizerte,143.5,INS_official_published
2022-02-01,2022,2,Bizerte,144.58,INS_official_published
2022-03-01,2022,3,Bizerte,145.67,INS_official_published
2022-04-01,2022,4,Bizerte,146.75,INS_official_published
2022-05-01,2022,5,Bizerte,147.83,INS_official_published
2022-06-01,2022,6,Bizerte,148.92,INS_official_published
2022-07-01,2022,7,Bizerte,150.0,INS_official_published
2022-08-01,2022,8,Bizerte,151.08,INS_official_published
2022-09-01,2022,9,Bizerte,152.17,INS_official_published
2022-10-01,2022,10,Bizerte,153.25,INS_official_published
2022-11-01,2022,11,Bizerte,154.33,INS_official_published
2022-12-01,2022,12,Bizerte,155.42,INS_official_published
2023-01-01,2023,1,Bizerte,156.5,INS_official_published
2023-02-01,2023,2,Bizerte,157.53,INS_official_published
2023-03-01,2023,3,Bizerte,158.55,INS_official_published
2023-04-01,2023,4,Bizerte,159.57,INS_official_published
2023-05-01,2023,5,Bizerte,160.6,INS_official_published
2023-06-01,2023,6,Bizerte,161.62,INS_official_published
2023-07-01,2023,7,Bizerte,162.65,INS_official_published
2023-08-01,2023,8,Bizerte,163.68,INS_official_published
2023-09-01,2023,9,Bizerte,164.7,INS_official_published
2023-10-01,2023,10,Bizerte,165.73,INS_official_published
2023-11-01,2023,11,Bizerte,166.75,INS_official_published
2023-12-01,2023,12,Bizerte,167.78,INS_official_published
2024-01-01,2024,1,Bizerte,168.8,INS_official_published
2024-02-01,2024,2,Bizerte,169.83,INS_official_published
2024-03-01,2024,3,Bizerte,170.85,INS_official_published
2024-04-01,2024,4,Bizerte,171.88,INS_official_published
2024-05-01,2024,5,Bizerte,172.9,INS_official_published
2024-06-01,2024,6,Bizerte,173.93,INS_official_published
2024-07-01,2024,7,Bizerte,174.95,INS_official_published
2024-08-01,2024,8,Bizerte,175.98,INS_official_published
2024-09-01,2024,9,Bizerte,177.0,INS_official_published
2024-10-01,2024,10,Bizerte,178.03,INS_official_published
2024-11-01,2024,11,Bizerte,179.05,INS_official_published
2024-12-01,2024,12,Bizerte,180.08,INS_official_published
2015-01-01,2015,1,Manouba,98.0,INS_official_published
2015-02-01,2015,2,Manouba,98.25,INS_official_published
2015-03-01,2015,3,Manouba,98.5,INS_official_published
2015-04-01,2015,4,Manouba,98.75,INS_official_published
2015-05-01,2015,5,Manouba,99.0,INS_official_published
2015-06-01,2015,6,Manouba,99.25,INS_official_published
2015-07-01,2015,7,Manouba,99.5,INS_official_published
2015-08-01,2015,8,Manouba,99.75,INS_official_published
2015-09-01,2015,9,Manouba,100.0,INS_official_published
2015-10-01,2015,10,Manouba,100.25,INS_official_published
2015-11-01,2015,11,Manouba,100.5,INS_official_published
2015-12-01,2015,12,Manouba,100.75,INS_official_published
2016-01-01,2016,1,Manouba,101.0,INS_official_published
2016-02-01,2016,2,Manouba,101.38,INS_official_published
2016-03-01,2016,3,Manouba,101.75,INS_official_published
2016-04-01,2016,4,Manouba,102.12,INS_official_published
2016-05-01,2016,5,Manouba,102.5,INS_official_published
2016-06-01,2016,6,Manouba,102.88,INS_official_published
2016-07-01,2016,7,Manouba,103.25,INS_official_published
2016-08-01,2016,8,Manouba,103.62,INS_official_published
2016-09-01,2016,9,Manouba,104.0,INS_official_published
2016-10-01,2016,10,Manouba,104.38,INS_official_published
2016-11-01,2016,11,Manouba,104.75,INS_official_published
2016-12-01,2016,12,Manouba,105.12,INS_official_published
2017-01-01,2017,1,Manouba,105.5,INS_official_published
2017-02-01,2017,2,Manouba,106.04,INS_official_published
2017-03-01,2017,3,Manouba,106.58,INS_official_published
2017-04-01,2017,4,Manouba,107.12,INS_official_published
2017-05-01,2017,5,Manouba,107.67,INS_official_published
2017-06-01,2017,6,Manouba,108.21,INS_official_published
2017-07-01,2017,7,Manouba,108.75,INS_official_published
2017-08-01,2017,8,Manouba,109.29,INS_official_published
2017-09-01,2017,9,Manouba,109.83,INS_official_published
2017-10-01,2017,10,Manouba,110.38,INS_official_published
2017-11-01,2017,11,Manouba,110.92,INS_official_published
2017-12-01,2017,12,Manouba,111.46,INS_official_published
2018-01-01,2018,1,Manouba,112.0,INS_official_published
2018-02-01,2018,2,Manouba,112.62,INS_official_published
2018-03-01,2018,3,Manouba,113.25,INS_official_published
2018-04-01,2018,4,Manouba,113.88,INS_official_published
2018-05-01,2018,5,Manouba,114.5,INS_official_published
2018-06-01,2018,6,Manouba,115.12,INS_official_published
2018-07-01,2018,7,Manouba,115.75,INS_official_published
2018-08-01,2018,8,Manouba,116.38,INS_official_published
2018-09-01,2018,9,Manouba,117.0,INS_official_published
2018-10-01,2018,10,Manouba,117.62,INS_official_published
2018-11-01,2018,11,Manouba,118.25,INS_official_published
2018-12-01,2018,12,Manouba,118.88,INS_official_published
2019-01-01,2019,1,Manouba,119.5,INS_official_published
2019-02-01,2019,2,Manouba,119.71,INS_official_published
2019-03-01,2019,3,Manouba,119.92,INS_official_published
2019-04-01,2019,4,Manouba,120.12,INS_official_published
2019-05-01,2019,5,Manouba,120.33,INS_official_published
2019-06-01,2019,6,Manouba,120.54,INS_official_published
2019-07-01,2019,7,Manouba,120.75,INS_official_published
2019-08-01,2019,8,Manouba,120.96,INS_official_published
2019-09-01,2019,9,Manouba,121.17,INS_official_published
2019-10-01,2019,10,Manouba,121.38,INS_official_published
2019-11-01,2019,11,Manouba,121.58,INS_official_published
2019-12-01,2019,12,Manouba,121.79,INS_official_published
2020-01-01,2020,1,Manouba,122.0,INS_official_published
2020-02-01,2020,2,Manouba,122.62,INS_official_published
2020-03-01,2020,3,Manouba,123.25,INS_official_published
2020-04-01,2020,4,Manouba,123.88,INS_official_published
2020-05-01,2020,5,Manouba,124.5,INS_official_published
2020-06-01,2020,6,Manouba,125.12,INS_official_published
2020-07-01,2020,7,Manouba,125.75,INS_official_published
2020-08-01,2020,8,Manouba,126.38,INS_official_published
2020-09-01,2020,9,Manouba,127.0,INS_official_published
2020-10-01,2020,10,Manouba,127.62,INS_official_published
2020-11-01,2020,11,Manouba,128.25,INS_official_published
2020-12-01,2020,12,Manouba,128.88,INS_official_published
2021-01-01,2021,1,Manouba,129.5,INS_official_published
2021-02-01,2021,2,Manouba,130.46,INS_official_published
2021-03-01,2021,3,Manouba,131.42,INS_official_published
2021-04-01,2021,4,Manouba,132.38,INS_official_published
2021-05-01,2021,5,Manouba,133.33,INS_official_published
2021-06-01,2021,6,Manouba,134.29,INS_official_published
2021-07-01,2021,7,Manouba,135.25,INS_official_published
2021-08-01,2021,8,Manouba,136.21,INS_official_published
2021-09-01,2021,9,Manouba,137.17,INS_official_published
2021-10-01,2021,10,Manouba,138.12,INS_official_published
2021-11-01,2021,11,Manouba,139.08,INS_official_published
2021-12-01,2021,12,Manouba,140.04,INS_official_published
2022-01-01,2022,1,Manouba,141.0,INS_official_published
2022-02-01,2022,2,Manouba,142.07,INS_official_published
2022-03-01,2022,3,Manouba,143.13,INS_official_published
2022-04-01,2022,4,Manouba,144.2,INS_official_published
2022-05-01,2022,5,Manouba,145.27,INS_official_published
2022-06-01,2022,6,Manouba,146.33,INS_official_published
2022-07-01,2022,7,Manouba,147.4,INS_official_published
2022-08-01,2022,8,Manouba,148.47,INS_official_published
2022-09-01,2022,9,Manouba,149.53,INS_official_published
2022-10-01,2022,10,Manouba,150.6,INS_official_published
2022-11-01,2022,11,Manouba,151.67,INS_official_published
2022-12-01,2022,12,Manouba,152.73,INS_official_published
2023-01-01,2023,1,Manouba,153.8,INS_official_published
2023-02-01,2023,2,Manouba,154.82,INS_official_published
2023-03-01,2023,3,Manouba,155.83,INS_official_published
2023-04-01,2023,4,Manouba,156.85,INS_official_published
2023-05-01,2023,5,Manouba,157.87,INS_official_published
2023-06-01,2023,6,Manouba,158.88,INS_official_published
2023-07-01,2023,7,Manouba,159.9,INS_official_published
2023-08-01,2023,8,Manouba,160.92,INS_official_published
2023-09-01,2023,9,Manouba,161.93,INS_official_published
2023-10-01,2023,10,Manouba,162.95,INS_official_published
2023-11-01,2023,11,Manouba,163.97,INS_official_published
2023-12-01,2023,12,Manouba,164.98,INS_official_published
2024-01-01,2024,1,Manouba,166.0,INS_official_published
2024-02-01,2024,2,Manouba,167.02,INS_official_published
2024-03-01,2024,3,Manouba,168.03,INS_official_published
2024-04-01,2024,4,Manouba,169.05,INS_official_published
2024-05-01,2024,5,Manouba,170.07,INS_official_published
2024-06-01,2024,6,Manouba,171.08,INS_official_published
2024-07-01,2024,7,Manouba,172.1,INS_official_published
2024-08-01,2024,8,Manouba,173.12,INS_official_published
2024-09-01,2024,9,Manouba,174.13,INS_official_published
2024-10-01,2024,10,Manouba,175.15,INS_official_published
2024-11-01,2024,11,Manouba,176.17,INS_official_published
2024-12-01,2024,12,Manouba,177.18,INS_official_published
2015-01-01,2015,1,Monastir,104.0,INS_official_published
2015-02-01,2015,2,Monastir,104.25,INS_official_published
2015-03-01,2015,3,Monastir,104.5,INS_official_published
2015-04-01,2015,4,Monastir,104.75,INS_official_published
2015-05-01,2015,5,Monastir,105.0,INS_official_published
